@relation climate-change-7

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Agricultural land under irrigation (percent of total ag. land)' numeric
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'GHG net emissions/removals by LUCF (MtCO2e)' numeric
@attribute 'Population in urban agglomerations >1million (percent)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'Invest. in energy w/ private participation ($)' numeric
@attribute 'Invest. in telecoms w/ private participation ($)' numeric
@attribute 'Invest. in transport w/ private participation ($)' numeric
@attribute 'Invest. in water/sanit. w/ private participation ($)' numeric
@attribute 'Public sector mgmt & institutions avg. (1-6 scale; 6=best)' numeric
@attribute 'Paved roads (percent of total roads)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Nurses and midwives (per 1000 people)' numeric
@attribute 'Physicians (per 1000 people)' numeric
@attribute 'Malaria incidence rate (per 100000 people)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Child malnutrition underweight (percent of under age 5)' numeric
@attribute 'Population living below $1.25 a day (percent of total)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric

@data
Bahrain,?,?,8.190691,369.797154,8784.7075,22478.71,21.360306,899.173966,?,?,1.349361,?,?,?,?,?,81.481481,21902892583.9637,18730,101.198,97.83694,10.5,?,3.73,1.442,?,?,?,?,12.820373,1052359,12.865571,931548.1868
Bahamas,?,2067.4,11.786346,?,?,2156.196,6.462236,263.615314,?,?,13.659092,?,?,?,?,?,?,7297903886,21660,101.171,94.71387,16.3,?,?,?,?,100,?,?,1.449034,333661,1.688268,279274.257
'Bosnia and Herzegovina',?,4427,5.306777,211.729073,1583.14795,31275.843,8.286827,1108.274268,?,?,0.575448,?,77700000,?,?,3.3,?,18500599161.1744,4530,101.641,?,8.6,99,?,?,?,95,?,?,-0.128952,3774164,1.10118,1790463.4016
Belarus,0.59437,3554.6,3.588669,249.533046,2931.195793,62815.71,6.54194,556.916148,-27.138456,18.965226,7.267989,625000000,1130000000,3960000,?,?,?,60763483146.0674,5590,?,96.35613,7.2,100,?,4.98,?,93,?,0.1,-1.036064,9602000,-0.462684,7053629.2
Belize,?,2428,12.487558,?,?,425.372,1.320621,212.042509,?,?,27.94805,75000000,?,?,?,?,?,1358700000,3740,101.05,99.27465,18.2,99,?,?,210,90,?,?,3.346272,322100,4.318097,166525.7
Bermuda,?,?,0.864715,?,?,388.702,6.054548,?,?,?,5.568932,?,?,?,?,?,?,6067898000,?,?,?,?,?,?,?,?,?,?,?,0.3125,64200,0.312013,64200
Bolivia,?,2016.4,3.072459,148.96595,621.535804,12834.5,1.33436,319.811443,?,32.533057,18.206396,20000000,66300000,?,?,3.3,?,16675015771.1304,1490,98.784,98.82139,59,86,?,?,365,25,4.5,?,1.624282,9618466,2.328187,6307790.0028
Brazil,?,3830.8,2.726448,135.435781,1297.910085,393219.744,2.052903,214.218662,?,39.966774,28.028685,9194600000,10854500000,9967100000,827400000,?,?,1652632229227.610112,7480,102.527,?,22,97,?,?,210,80,?,4.25,0.915285,191543237,1.454243,163922702.2246
Barbados,?,2484.2,7.7882,?,?,1353.123,4.971427,267.479199,?,?,0.087292,?,?,?,?,?,?,3670215312.5,11610,?,?,18.9,100,?,?,?,100,?,?,0.206694,272180,1.418831,108436.512
'Brunei Darussalam',?,1221.2,1.543688,201.482503,9433.509663,10593.963,27.538603,588.174169,?,?,42.856587,?,?,?,?,?,?,14393099068.5859,33680,101.122,105.70779,7.7,?,4.88,1.417,?,?,?,?,1.884581,384695,2.474395,287828.799
Bhutan,?,2742.2,2.281106,?,?,733.4,1.045678,242.35964,?,?,28.348251,?,0,?,?,3.8,?,1257625054.71579,1740,97.775,84.48692,61.7,92,?,?,100,65,12,?,1.839263,701363,5.261425,241829.9624
Botswana,?,538.2,6.644324,88.458913,1110.352758,4840.44,2.476154,197.268729,?,?,30.933088,?,51860000,?,?,?,?,13473345712.5461,6450,?,?,51.8,95,?,?,587,60,?,?,1.405456,1954822,2.689258,1164682.9476
'Central African Republic',?,946.7,5.906207,?,?,260.357,0.061434,87.826239,?,?,14.662784,?,2800000,?,?,2.3,?,1982983854.75983,420,68.645,35.46239,162.3,67,?,?,35786,34,?,62.83,1.834125,4237961,2.24971,1635005.3538
Canada,?,3386.9,3.860791,222.910657,8001.482766,544091.125,16.333481,455.02904,-16.948428,43.694054,8.034367,?,?,?,?,?,?,1499107812265.71008,43430,?,?,6,100,?,?,?,100,?,?,1.011966,33311400,1.136421,26782365.6
Switzerland,?,6416.4,3.184256,91.928586,3501.146296,40392.005,5.281606,138.677598,0.574134,14.853809,22.829501,?,?,?,?,?,100,502447278285.276032,56780,97.26,94.00919,4.7,100,15.96,?,?,100,?,?,1.270618,7647675,1.352306,5619511.59
'Channel Islands',0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.671974,151705,1.12286,47210.596
Chile,?,5868.3,8.872996,130.194675,1743.844948,73108.979,4.352867,324.983064,?,34.610543,16.496433,8870000,405700000,260100000,?,?,?,170741003929.264,9490,98.531,?,9,96,?,?,?,96,0.5,?,0.971259,16795593,1.28836,14854022.4492
China,?,5548.4,3.873382,279.840202,1598.516237,7031916.207,5.308489,929.317163,?,17.252225,16.599298,678770000,?,436750000,973613620,?,53.5,4521826899540.67968,3050,104.003,?,20.9,89,?,?,3,55,?,?,0.512387,1324655000,2.622665,570926305
'Cote d Ivoire',?,1728.3,1.905474,326.669924,541.320704,7014.971,0.369462,222.958423,?,20.524035,22.592524,0,300700000,?,0,2.5,?,23414005259.4684,1070,?,?,127.7,80,0.48,0.144,36482,23,?,23.75,1.808282,18987007,3.170532,9261862.0146
Cameroon,?,1510.9,-0.101949,166.892664,340.917516,5302.482,0.282667,138.37658,?,19.500652,9.153944,0,211000000,?,?,2.9,?,23735512829.1016,1160,84.248,72.70164,138.7,74,?,?,27818,47,?,?,2.203103,18758778,3.658319,10647482.3928
Congo,?,776.3,21.063467,98.626021,338.655161,1936.176,0.504694,146.98116,?,32.90009,9.447633,?,120700000,735000000,?,2.6,?,11789245042.5775,1870,?,73.06955,95,71,?,?,34298,30,?,?,2.794623,3836339,3.416048,2353210.3426
'Cook Islands',?,?,?,?,?,69.673,3.480344,?,?,?,0.807103,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,100,?,?,0.792381,20019,?,?
Colombia,?,4154.4,4.331309,82.819126,683.29036,67700.154,1.504255,182.325197,?,36.828161,20.41021,159300000,1691000000,956000000,?,?,?,244645672494.989984,4640,104.307,110.47104,20.5,92,?,1.43,394,74,?,?,1.462579,45005782,1.866077,33529307.59
Comoros,?,1290.5,1.41871,?,?,124.678,0.178869,179.291902,?,?,0,?,?,?,?,2.2,?,530138454.667262,690,?,81.01795,89.9,95,?,?,24619,36,?,?,2.679939,697034,2.893843,195727.1472
'Cape Verde',?,336.8,13.628614,?,?,308.028,0.63202,189.723219,?,?,2.468916,?,4700000,?,?,4,?,1550552391.53712,2900,100.8,91.98827,37.6,84,1.32,0.572,23,54,?,?,0.896137,487371,2.145098,290570.5902
'Costa Rica',1.5,3757.8,7.00602,104.690827,1085.32318,8016.062,1.772632,170.988992,?,30.27407,20.915233,?,?,?,?,?,25.28,29663614222.9414,6060,102.029,92.8693,10.3,97,?,?,51,95,?,?,1.54918,4522124,2.374582,2860695.6424
Cuba,?,2674.2,0.038623,?,935.999815,31418.856,2.788597,?,?,19.090167,6.249162,?,0,?,?,?,?,62704800000,5520,98.788,89.90873,6.3,94,?,?,?,91,?,?,-0.015815,11266905,0.010623,8524540.323
Curacao,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.02306,141279,?,?
'Cayman Islands',?,?,?,?,?,557.384,10.080188,?,?,?,8.694005,?,?,?,?,?,?,?,?,100.857,83.83838,?,95,?,?,?,96,?,?,1.120277,55295,1.120277,55295
Cyprus,20.869565,1327.5,15.32402,123.995958,2401.262394,8555.111,7.943457,410.182804,?,?,10.979422,?,?,?,?,?,64.61,25371874080.6119,27460,100.065,100.24621,4.2,100,?,?,?,100,?,?,1.305983,1077001,1.592516,752823.699
'Czech Republic',0.235627,5363.5,3.04164,184.358595,4281.345018,116995.635,11.223318,483.286228,-4.778284,11.142542,15.124752,?,?,?,?,?,?,216084641518.276,17140,100.619,95.28029,4.5,100,8.55,3.625,?,98,?,?,0.868816,10424336,0.868816,7661886.96
Germany,?,7118.7,0.131693,120.751586,4076.282653,786659.508,9.580545,283.804178,15.216436,7.930885,40.471816,?,?,?,?,?,?,3634525945728.200192,42680,98.136,103.51328,4.4,100,10.82,3.531,?,100,?,?,-0.190143,82110097,-0.081447,60465875.4308
Djibouti,?,1500,23.170138,?,?,524.381,0.612855,302.492861,?,?,0.002574,?,?,?,?,2.8,?,982534421.931004,1200,79.972,41.52718,94.5,92,0.8,?,467,56,?,?,1.909456,855636,2.368699,746970.228
Dominica,?,1351.1,15.102806,?,?,128.345,1.883024,214.456002,?,?,21.666967,?,0,?,?,3.8,?,374422222.222222,5140,98.227,90.0149,12.9,?,?,?,?,?,?,?,-0.402657,68159,0.058361,50383.1328
Denmark,9.52024,6017.3,0.763233,102.860689,3497.97902,46024.517,8.377811,246.355791,-2.115212,21.140901,4.951369,?,?,?,?,?,100,341466969261.278016,58620,102.026,?,4.3,100,?,?,?,100,?,?,0.587548,5493621,0.887952,4761870.6828
'Dominican Republic',?,4250.1,6.307885,109.187918,843.800815,21616.965,2.236635,289.420868,?,21.699041,22.13278,0,33000000,?,?,?,?,45498608625.368104,4460,102.927,?,28.8,86,?,?,46,83,?,?,1.3856,9664948,2.463542,6670747.1096
Algeria,2.069767,1034,1.517639,147.053494,1083.368353,111304.451,3.23296,438.83331,?,7.788303,6.317327,?,264000000,?,874000000,?,73.46,170989269622.036992,4260,?,113.855,38.1,83,?,?,?,95,?,?,1.526117,34428028,2.512257,22453959.8616
'East Asia & Pacific',?,4910.120895,3.67089,264.115931,1371.646408,8259297.797128,4.26969,827.140455,?,?,14.912831,8415070000,?,1542050000,973613620,?,15.855,5899338815849.700352,2730.637651,102.216,?,26.887257,87.895938,?,?,524.931927,58.983652,?,?,0.705225,1934402219,2.737712,855004868.2678
'Europe & Central Asia',?,2553.295711,4.869577,278.573734,3058.470211,3110254.407717,7.737926,707.995608,?,18.154893,7.477698,19654960000,18815500000,?,?,?,85.8,3330888968055.819776,6960.180371,97.064,95.363723,24.835138,95.478895,?,?,?,89.010492,?,?,0.330705,401949352,0.48265,255876096.5468
Ecuador,10.18133,2991.5,1.845716,108.227946,784.726331,26824.105,1.908274,263.185416,?,30.78955,25.094856,?,1062100000,?,?,?,?,54208500000,3570,101.607,?,22.3,94,?,?,63,92,?,?,1.483691,14056740,2.495194,9218410.092
Egypt,?,7500.4,5.830762,173.078089,902.791261,210320.785,2.68529,514.808813,?,19.193048,5.879998,?,1414000000,640000000,?,?,86.89,162836363636.364,1880,?,?,25.5,99,?,?,0,94,6.8,?,1.779878,78323298,1.873555,33459712.9056
'Euro area',?,5898.003886,2.912732,121.681484,3740.249772,2633269.033,7.991142,259.975677,?,17.813874,15.451629,?,?,?,?,?,91.800003,1.35517205683137E13,38508.383354,99.385,100.472804,4.494209,99.953493,?,?,?,99.875401,?,?,0.522439,329523510,0.780314,241234651.2532
Eritrea,?,252.2,-0.016906,279.469631,136.885523,414.371,0.083753,170.993188,?,?,4.961001,?,0,?,?,2.7,?,1380162601.62602,250,77.213,46.89775,66.2,61,?,?,762,14,?,?,3.057056,4947521,5.20348,1025126.3512
Spain,11.935897,3580.8,4.887219,107.520439,3047.076815,329285.599,7.228195,255.057141,-29.118367,23.370973,8.571968,?,?,?,?,?,?,1593912183689.159936,31810,102.586,100.21597,5.1,100,?,?,?,100,?,?,1.496735,45555716,1.678435,35132568.1792
Estonia,?,2794,7.435088,217.62363,4057.87234,18290.996,13.643125,731.680554,-0.326317,?,19.950488,?,?,?,?,?,28.774511,23517187207.7801,14410,101.15,100.03059,6.6,98,6.82,3.409,?,95,?,?,-0.074338,1340675,-0.04554,931232.855
Ethiopia,0.475183,1421.7,0.407386,490.413922,399.065237,7106.646,0.089452,109.928234,?,3.526316,18.398678,?,?,?,?,3.3,?,26642461516.1887,290,85.096,52.06519,111.9,38,?,?,11509,12,?,?,2.199032,79446419,3.979494,13505891.23
Finland,?,3542.2,-0.806881,197.488022,6640.659397,56512.137,10.635779,316.299755,-27.010485,20.643151,9.06602,?,?,?,?,?,65.47,270478631852.639008,48110,102.221,97.85745,3.3,100,?,2.735,?,100,?,?,0.465549,5313399,0.94061,3363381.567
Fiji,?,2009.3,8.678182,?,?,1254.114,1.486532,348.531562,?,?,1.338939,?,90250000,?,?,?,?,3565203889.58595,4070,102.764,91.84866,18.2,?,?,?,?,?,?,?,0.998747,843651,1.996836,441735.6636
France,?,7289,2.349681,137.124228,4162.755972,376985.935,5.873133,193.465292,-68.903091,22.19437,15.103969,?,?,?,?,?,100,2831794060131.10016,42080,99.562,?,4.3,100,8.093,3.497,?,100,?,?,0.565627,64188219,0.850417,49656006.2184
'Faeroe Islands',?,?,?,?,?,707.731,14.563265,?,?,?,?,?,?,?,?,?,?,2412859692.82674,?,?,?,?,?,?,?,?,?,?,?,0.051457,48597,1.363748,20128.8774
Micronesia,?,1405.5,2.205246,?,?,62.339,0.564834,196.767704,?,?,4.025693,?,?,?,?,?,?,261800000,2480,?,?,43.8,?,?,?,?,?,?,?,0.24948,110367,0.605036,24876.7218
Gabon,?,1881.2,1.438259,102.063968,1371.923244,2471.558,1.704158,126.780541,?,?,14.888959,?,56400000,3900000,?,?,?,14532816809.5484,7500,?,?,76.5,87,?,?,29451,33,?,?,1.856246,1450310,2.422285,1233343.624
'United Kingdom',?,7420.1,3.518581,100.104723,3390.309753,522855.528,8.516461,251.463151,-3.962171,25.783173,24.352378,?,?,?,?,?,100,2657482269112.410112,45610,101.28,?,5.6,100,?,?,?,100,?,?,0.664934,61393521,0.753921,55217332.7874
Georgia,4.003171,2090.5,12.223719,151.856891,685.837078,5203.473,1.187005,262.824607,?,25.306887,3.651235,50000000,106000000,345000000,?,3.8,?,12795044475.201,2460,96.46,99.72638,24.1,98,?,?,0,95,?,15.27,-0.107158,4383700,0.044645,2311963.38
Ghana,?,1598.1,4.278064,294.596252,406.57765,8591.781,0.369314,267.595768,?,16.798257,13.995378,?,1434000000,?,?,3.9,?,28526922399.3369,1150,95.648,82.1903,78.8,82,0.975,0.11,31179,13,14.3,?,2.40035,23264176,3.890811,11636740.8352
